name,lat,lon
Xinglong Station,40.394167,117.575
Thueringer Landessternwarte Tautenburg,50.984921,11.710722
Okayama Astrophysical Observatory,34.57611,133.594128
W. M. Keck Observatory,19.82636,-155.47501
Gemini Observatory,-30.24073,-70.73659
Lick Observatory,37.341389,-121.642778
Cerro Tololo Inter-American Observatory,-30.169661,-70.806525
Paranal Observatory,-24.627222,-70.404167
Haute-Provence Observatory,43.931466,5.713448
McDonald Observatory,30.671389,-104.0225
Anglo-Australian Telescope,-31.2754,149.0672
Bohyunsan Optical Astronomical Observatory,36.165018,128.976436
Roque de los Muchachos Observatory,28.7636,-17.8947
K2,35.883333,76.516667
La Silla Observatory,-29.261167,-70.731333
Subaru Telescope,19.825556,-155.476667
Yunnan Astronomical Observatory,25.033333,102.783333
MEarth Project,31.681111,-110.878333
Palomar Observatory,33.3558,-116.865
Kitt Peak National Observatory,31.958333,-111.596667
Las Campanas Observatory,-29.0146,-70.6926
Oak Ridge Observatory,42.505,-71.55833
"Ground,Roque de los Muchachos Observatory",28.7636,-17.8947
Fred Lawrence Whipple Observatory,31.681111,-110.878333
Apache Point Observatory,32.780278,-105.820278
KELT,31.668611,-110.653889
KELT-South,-32.3783,20.8105
Large Binocular Telescope Observatory,32.701308,-109.889064
Arecibo Observatory,18.34417,-66.75278
Parkes Observatory,-32.999944,148.262306
European Southern Observatory,-29.261167,-70.731333
Leoncito Astronomical Complex,-31.7986,-69.2956
Teide Observatory,28.3,-16.509722
United Kingdom Infrared Telescope,19.8225,-155.470694
